name,displayName,cycle,defects,teams,projectCategory,region,os,deviceType,chipsetVendor,chipsetNewness,pipeline,operators,userPrograms,idhVendor,frQuantity,mm,supportSim,validStartDate,validEndDate
Encore Spectrum,ENCORESPECTRUM,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,,,,483,1,Yes,2022/12/28,2023/6/7
Bora NA OM,BORANAOM,,,,Variant,NA,Android,Smart phone,MTK,Old,,US_OM,,,2472,6,Yes,2022/11/29,2023/3/30
Encore CAN,ENCORECAN,,,,Variant,NA,Android,Smart phone,MTK,Old,,,,,1116,0,Yes,2022/10/28,2023/2/24
Encore Visible,ENCOREVI,,,,Variant,NA,Android,Smart phone,MTK,Old,,,,,651,1,Yes,2023/2/28,2023/5/17
Rio TMO,RIOTMO,,,,NPI leading,NA,Android,Smart phone,MTK,Old,,US_TMO,,,3491,14,Yes,2023/4/26,2023/9/1
Encore USCC,ENCOREUSCC,,,,Variant,NA,Android,Smart phone,MTK,Old,,US_USCC,,,1904,8,Yes,2023/4/17,2023/8/22
A01,A01,,,,IDH 全O,GL,Android,Smart phone,MTK,Old,,,,麦博,,11,Yes,2025/7/21,2025/9/30
C3F SE,C3FSE,,,,IDH 全O,GL,AOSP,Feature phone,MTK,Old,,,,驰腾,,7,Yes,2026/3/10,2026/5/22
N5DET,N5DET,,,,IDH 全O,GL,Android,Smart phone,MTK,Old,,,,传佳音,,4,Yes,2026/4/12,2026/5/13
NOA1,NOA1,,,,IDH 全O,GL,Android,Smart phone,MTK,Old,,,,传佳音,,9,Yes,2025/12/15,2026/4/22
